0.1	3003.605687496374
0.2	2139.58262356306
0.3	1759.7385631729276
0.4	1534.9980668376995
0.5	1382.7604183256312
0.6	1271.2067867678063
0.7	1185.1386397241956
0.8	1116.2633540186205
0.9	1059.6237238118615
1.0	1012.0514949681486
1.1	971.4153941265769
1.2	936.2224308447729
1.3	905.3917618907628
1.4	878.1192944240871
1.5	853.792929196225
1.6	831.9374894420631
1.7	812.1777864057794
1.8	794.2131634959416
1.9	777.7995301081987
2.0	762.7364141737141
2.1	748.8574574672065
2.2	736.0233222673135
2.3	724.1163186861788
2.4	713.036280545741
2.5	702.6973610431456
2.6	693.0255154038332
2.7	683.9565031317072
2.8	675.4342878048492
2.9	667.4097442753858
3.0	659.8396059083232
3.1	652.68560096278
3.2	645.9137392703926
3.3	639.493719283165
3.4	633.3984322302159
3.5	627.6035451559925
3.6	622.0871484464803
3.7	616.8294563952961
3.8	611.8125516422939
3.9	607.0201660966741
4.0	602.4374923545975
4.1	598.0510207270612
4.2	593.8483978738724
4.3	589.8183037442521
4.4	585.9503440920448
4.5	582.234956292892
4.6	578.6633265645586
4.7	575.2273169972686
4.8	571.9194010520305
4.9	568.7326063921438
5.0	565.660464084787
5.1	562.6969633524596
5.2	559.836511173388
5.3	557.0738961300452
5.4	554.4042559891251
5.5	551.8230485673689
5.6	549.32602549785
5.7	546.9092085624749
5.8	544.5688683000533
5.9	542.301504636568
6.0	540.1038293162192
6.1	537.9727499392869
6.2	535.9053554365241
6.3	533.898902830241
6.4	531.9508051499661
6.5	530.0586203859409
6.6	528.2200413770948
6.7	526.4328865418213
6.8	524.6950913700763
6.9	523.0047006042623
7.0	521.3598610441978
7.1	519.7588149183744
7.2	518.199893769779
7.3	516.68151280992
7.4	515.202165699442
7.5	513.760419717911
7.6	512.3549112890838
7.7	510.98434183128313
7.8	509.6474739054526
7.9	508.3431276360935
8.0	507.07017738263073
8.1	505.8275486408584
8.2	504.614215155992
8.3	503.4291962305402
8.4	502.27155421172654
8.5	501.14039214454584
8.6	500.0348515777732
8.7	498.954110511342
8.8	497.89738147450777
8.9	496.86390972511714
9.0	495.8529715611096
9.1	494.8638727361299
9.2	493.89594697178615
9.3	492.9485545597048
9.4	492.021081047085
9.5	491.1129359999542
9.6	490.2235518387874
9.7	489.3523827415707
9.8	488.4989036097663
9.9	487.6626090929892
10.0	486.84301266851963
10.1	486.0396457720687
10.2	485.25205697647954
10.3	484.4798112152929
10.4	483.722489048327
10.5	482.97968596663037
10.6	482.2510117343545
10.7	481.5360897652657
10.8	480.8345565317781
10.9	480.1460610045365
11.0	479.47026412071216
11.1	478.8068382793039
11.2	478.1554668618479
11.3	477.51584377705166
11.4	476.8876730279628
11.5	476.2706683003774
11.6	475.6645525712761
11.7	475.06905773615625
11.8	474.4839242541989
11.9	473.9089008102803
12.0	473.343743992898
12.1	472.7882179871399
12.2	472.2420942818822
12.3	471.70515139044676
12.4	471.1771745840016
12.5	470.65795563702824
12.6	470.14729258422085
12.7	469.64498948822035
12.8	469.1508562176249
12.9	468.6647082347441
13.0	468.186366392605
13.1	467.71565674073736
13.2	467.2524103392993
13.3	466.79646308112694
13.4	466.3476555213148
13.5	465.9058327139579
13.6	465.47084405570484
13.7	465.0425431357925
13.8	464.6207875922512
13.9	464.2054389739832
14.0	463.79636260843824
14.1	463.3934274746213
14.2	462.9965060811836
14.3	462.6054743493587
14.4	462.2202115005232
14.5	461.84059994816744
14.6	461.4665251940762
14.7	461.0978757285292
14.8	460.7345429343401
14.9	460.3764209945632
