0.0	14.8572884811	0.02333138408735942	145750.0
1.0	13.7110091743	0.021970720178319587	134505.0
2.0	12.3547400612	0.020209861001915103	121200.0
3.0	11.1630988787	0.018649099459192946	109510.0
4.0	10.1753312946	0.01736847460362605	99820.0
5.0	9.35779816514	0.016327966908477945	91800.0
6.0	8.65647298675	0.015447537320275703	84920.0
7.0	8.02140672783	0.014647146785546392	78690.0
8.0	7.49235474006	0.014006834357762944	73500.0
9.0	7.000509684	0.01340654145671596	68675.0
10.0	6.56472986748	0.012886287609141909	64400.0
11.0	6.18195718654	0.012446072815040787	60645.0
12.0	5.81039755352	0.012005858020939666	57000.0
13.0	5.4877675841	0.011645682280311476	53835.0
14.0	5.17431192661	0.011285506539683285	50760.0
15.0	4.8878695209	0.01096535032579156	47950.0
16.0	4.62691131498	0.010685213638636303	45390.0
17.0	4.38990825688	0.01044509647821751	43065.0
18.0	4.14271151886	0.01016495979106225	40640.0
19.0	3.91845056065	0.009924842630643457	38440.0
20.0	3.71559633028	0.009724744996961129	36450.0
21.0	3.51783893986	0.009524647363278802	34510.0
22.0	3.3251783894	0.009324549729596473	32620.0
23.0	3.15137614679	0.009164471622650612	30915.0
24.0	2.96839959225	0.008964373988968283	29120.0
25.0	2.80326197757	0.008804295882022422	27500.0
26.0	2.65443425076	0.008684237301813025	26040.0
27.0	2.49694189602	0.008524159194867162	24495.0
28.0	2.35474006116	0.008404100614657765	23100.0
29.0	2.20489296636	0.008244022507711904	21630.0
30.0	2.06931702345	0.008123963927502507	20300.0
31.0	1.93679918451	0.00800390534729311	19000.0
32.0	1.80733944954	0.007883846767083714	17730.0
33.0	1.68093781855	0.007763788186874317	16490.0
34.0	1.56574923547	0.0076837491334013856	15360.0
35.0	1.44495412844	0.007563690553191989	14175.0
36.0	1.33435270133	0.007483651499719058	13090.0
37.0	1.22579001019	0.007403612446246127	12025.0
38.0	1.11314984709	0.00728355386603673	10920.0
39.0	1.00917431193	0.0072035148125637995	9900.0
